Dish,Dieting_Level,Spice_Level,Time_of_Day,Age_Group,Preferred_Cuisine
Tacos,Low,Medium,Breakfast,Senior,Mexican
Dim Sum,High,Medium,Breakfast,Child,Chinese
Risotto,High,Medium,Dinner,Adult,Italian
Pancakes,Low,Mild,Breakfast,Adult,American
Dim Sum,Low,Mild,Breakfast,Child,Chinese
Fried Rice,Low,Medium,Lunch,Adult,Chinese
Sweet & Sour,High,Spicy,Dinner,Senior,Chinese
Risotto,Low,Mild,Dinner,Adult,Italian
Steak,Medium,Medium,Dinner,Child,American
Quesadilla,Low,Medium,Lunch,Adult,Mexican
Idli,Medium,Medium,Breakfast,Senior,Indian
Lasagna,Medium,Mild,Dinner,Child,Italian
Risotto,Low,Mild,Dinner,Senior,Italian
Fries,Medium,Medium,Lunch,Adult,American
Dim Sum,High,Mild,Breakfast,Senior,Chinese
Tacos,Medium,Medium,Breakfast,Child,Mexican
Risotto,Low,Medium,Dinner,Adult,Italian
Sweet & Sour,High,Mild,Dinner,Adult,Chinese
Frittata,High,Spicy,Breakfast,Child,Italian
Dim Sum,Low,Mild,Breakfast,Senior,Chinese
Paneer,High,Mild,Dinner,Senior,Indian
Noodles,High,Medium,Lunch,Senior,Chinese
Frittata,Medium,Medium,Breakfast,Adult,Italian
Frittata,High,Medium,Breakfast,Child,Italian
Pancakes,Low,Spicy,Breakfast,Adult,American
Fries,High,Medium,Lunch,Adult,American
Dim Sum,High,Mild,Breakfast,Adult,Chinese
Sweet & Sour,Medium,Medium,Dinner,Child,Chinese
Dim Sum,Low,Medium,Breakfast,Senior,Chinese
Tacos,Medium,Mild,Breakfast,Adult,Mexican
Pizza,Low,Medium,Lunch,Adult,Italian
Paratha,Medium,Spicy,Breakfast,Child,Indian
Sweet & Sour,High,Mild,Dinner,Child,Chinese
Tacos,Medium,Medium,Breakfast,Senior,Mexican
Fries,Medium,Spicy,Lunch,Adult,American
Paratha,High,Spicy,Breakfast,Child,Indian
Quesadilla,Low,Mild,Lunch,Adult,Mexican
Burger,Low,Medium,Lunch,Child,American
Curry,High,Medium,Lunch,Adult,Indian
Pancakes,Medium,Spicy,Breakfast,Senior,American
Lasagna,Medium,Mild,Dinner,Child,Italian
Burger,Medium,Medium,Lunch,Child,American
Pasta,High,Medium,Lunch,Adult,Italian
Pancakes,Medium,Mild,Breakfast,Senior,American
Curry,High,Medium,Lunch,Adult,Indian
Tacos,Low,Mild,Breakfast,Adult,Mexican
Biryani,Low,Mild,Lunch,Adult,Indian
Tandoori,High,Mild,Dinner,Adult,Indian
Salad,Medium,Medium,Dinner,Child,American
Steak,High,Spicy,Dinner,Child,American
Risotto,Medium,Medium,Dinner,Child,Italian
Tacos,Medium,Spicy,Breakfast,Adult,Mexican
Paneer,Medium,Mild,Dinner,Senior,Indian
Curry,High,Spicy,Lunch,Child,Indian
Pancakes,Low,Spicy,Breakfast,Adult,American
Lasagna,High,Mild,Dinner,Child,Italian
Burger,Low,Mild,Lunch,Senior,American
Idli,Medium,Mild,Breakfast,Adult,Indian
Pasta,Low,Mild,Lunch,Child,Italian
Burger,Low,Mild,Lunch,Child,American
Frittata,Low,Medium,Breakfast,Adult,Italian
Enchilada,Medium,Spicy,Dinner,Senior,Mexican
Frittata,Medium,Spicy,Breakfast,Child,Italian
Paratha,Low,Mild,Breakfast,Adult,Indian
Tacos,High,Mild,Breakfast,Senior,Mexican
Dim Sum,Low,Spicy,Breakfast,Adult,Chinese
Tacos,Low,Mild,Breakfast,Child,Mexican
Tandoori,Medium,Medium,Dinner,Senior,Indian
Frittata,Medium,Spicy,Breakfast,Child,Italian
Fries,High,Mild,Lunch,Adult,American
Salad,Medium,Spicy,Dinner,Adult,American
Sweet & Sour,High,Medium,Dinner,Child,Chinese
Pancakes,High,Medium,Breakfast,Child,American
Dim Sum,High,Medium,Breakfast,Adult,Chinese
Enchilada,Medium,Mild,Dinner,Child,Mexican
Pasta,Low,Mild,Lunch,Senior,Italian
Tacos,High,Spicy,Breakfast,Adult,Mexican
Quesadilla,Medium,Spicy,Lunch,Child,Mexican
Pancakes,Medium,Medium,Breakfast,Senior,American
Pizza,Medium,Spicy,Lunch,Adult,Italian
Steak,Medium,Mild,Dinner,Adult,American
Curry,Medium,Mild,Lunch,Senior,Indian
Lasagna,High,Medium,Dinner,Child,Italian
Tacos,Low,Medium,Breakfast,Child,Mexican
Burrito,Medium,Spicy,Lunch,Child,Mexican
Risotto,Low,Medium,Dinner,Adult,Italian
Chili,Medium,Medium,Dinner,Adult,Mexican
Sweet & Sour,Medium,Medium,Dinner,Senior,Chinese
Tacos,Low,Mild,Breakfast,Senior,Mexican
Frittata,Low,Medium,Breakfast,Senior,Italian
Paratha,High,Medium,Breakfast,Adult,Indian
Dim Sum,High,Mild,Breakfast,Child,Chinese
Idli,High,Mild,Breakfast,Senior,Indian
Noodles,High,Mild,Lunch,Adult,Chinese
Salad,High,Mild,Dinner,Senior,American
Pizza,Low,Spicy,Lunch,Senior,Italian
Noodles,Low,Spicy,Lunch,Child,Chinese
Burrito,Low,Medium,Lunch,Adult,Mexican
Risotto,High,Medium,Dinner,Senior,Italian
Paratha,Low,Mild,Breakfast,Adult,Indian
Paneer,Medium,Mild,Dinner,Senior,Indian
Paratha,Medium,Mild,Breakfast,Child,Indian
Curry,Low,Spicy,Lunch,Adult,Indian
Pancakes,Low,Spicy,Breakfast,Senior,American
Dim Sum,Low,Spicy,Breakfast,Child,Chinese
Pancakes,Low,Spicy,Breakfast,Senior,American
Enchilada,Medium,Spicy,Dinner,Adult,Mexican
Burger,Medium,Spicy,Lunch,Child,American
Frittata,Medium,Medium,Breakfast,Senior,Italian
Noodles,High,Mild,Lunch,Child,Chinese
Dim Sum,Medium,Mild,Breakfast,Senior,Chinese
Salad,Low,Spicy,Dinner,Adult,American
Tacos,High,Spicy,Breakfast,Adult,Mexican
Sweet & Sour,Low,Medium,Dinner,Adult,Chinese
Tacos,High,Spicy,Breakfast,Adult,Mexican
Steak,Low,Spicy,Dinner,Adult,American
Fries,Medium,Spicy,Lunch,Adult,American
Pancakes,Low,Medium,Breakfast,Senior,American
Tacos,Medium,Spicy,Breakfast,Senior,Mexican
Dim Sum,High,Spicy,Breakfast,Child,Chinese
Fried Rice,Medium,Spicy,Lunch,Adult,Chinese
Idli,Medium,Spicy,Breakfast,Senior,Indian
Fries,Low,Spicy,Lunch,Senior,American
Tacos,High,Medium,Breakfast,Senior,Mexican
Curry,Medium,Mild,Lunch,Child,Indian
Tandoori,Low,Mild,Dinner,Senior,Indian
Pasta,High,Medium,Lunch,Adult,Italian
Salad,High,Mild,Dinner,Child,American
Burger,Medium,Spicy,Lunch,Child,American
Pasta,Low,Mild,Lunch,Adult,Italian
Pancakes,High,Spicy,Breakfast,Adult,American
Noodles,Medium,Spicy,Lunch,Adult,Chinese
Fries,Medium,Mild,Lunch,Adult,American
Paneer,Low,Spicy,Dinner,Child,Indian
Quesadilla,Medium,Spicy,Lunch,Adult,Mexican
Pancakes,High,Mild,Breakfast,Senior,American
Pancakes,High,Mild,Breakfast,Child,American
Dumplings,High,Spicy,Dinner,Adult,Chinese
Frittata,Low,Medium,Breakfast,Senior,Italian
Pasta,Low,Medium,Lunch,Child,Italian
Tacos,Low,Medium,Breakfast,Adult,Mexican
Paratha,Medium,Medium,Breakfast,Child,Indian
Biryani,High,Medium,Lunch,Child,Indian
Tacos,Low,Mild,Breakfast,Adult,Mexican
Quesadilla,High,Medium,Lunch,Senior,Mexican
Lasagna,Medium,Spicy,Dinner,Child,Italian
Curry,Low,Mild,Lunch,Adult,Indian
Pancakes,High,Mild,Breakfast,Adult,American
Idli,Medium,Mild,Breakfast,Senior,Indian
Idli,Medium,Spicy,Breakfast,Child,Indian
Tandoori,Low,Medium,Dinner,Child,Indian
Enchilada,Medium,Mild,Dinner,Senior,Mexican
Enchilada,High,Medium,Dinner,Child,Mexican
Pancakes,Low,Mild,Breakfast,Adult,American
Dim Sum,Medium,Mild,Breakfast,Adult,Chinese
Lasagna,Low,Mild,Dinner,Child,Italian
Tacos,Low,Mild,Breakfast,Child,Mexican
Steak,High,Medium,Dinner,Child,American
Tandoori,High,Spicy,Dinner,Adult,Indian
Biryani,Medium,Medium,Lunch,Senior,Indian
Dim Sum,Low,Medium,Breakfast,Senior,Chinese
Salad,Low,Medium,Dinner,Adult,American
Paneer,Medium,Spicy,Dinner,Child,Indian
Pancakes,High,Spicy,Breakfast,Child,American
Dim Sum,Medium,Medium,Breakfast,Child,Chinese
Noodles,Low,Medium,Lunch,Child,Chinese
Dim Sum,Low,Mild,Breakfast,Senior,Chinese
Burrito,High,Spicy,Lunch,Adult,Mexican
Pancakes,Medium,Medium,Breakfast,Senior,American
Noodles,High,Mild,Lunch,Senior,Chinese
Fried Rice,High,Medium,Lunch,Adult,Chinese
Fried Rice,Medium,Spicy,Lunch,Adult,Chinese
Enchilada,Low,Mild,Dinner,Child,Mexican
Pancakes,Low,Medium,Breakfast,Adult,American
Pancakes,Medium,Spicy,Breakfast,Senior,American
Burger,Low,Medium,Lunch,Child,American
Dim Sum,Low,Mild,Breakfast,Senior,Chinese
Tacos,Low,Mild,Breakfast,Child,Mexican
Steak,Medium,Spicy,Dinner,Child,American
Paneer,Medium,Spicy,Dinner,Senior,Indian
Pancakes,High,Mild,Breakfast,Adult,American
Frittata,High,Medium,Breakfast,Adult,Italian
Dim Sum,High,Medium,Breakfast,Adult,Chinese
Idli,Medium,Medium,Breakfast,Child,Indian
Frittata,High,Mild,Breakfast,Child,Italian
Salad,High,Mild,Dinner,Senior,American
Enchilada,Medium,Mild,Dinner,Senior,Mexican
Biryani,High,Spicy,Lunch,Adult,Indian
Tacos,Low,Mild,Breakfast,Senior,Mexican
Chili,Low,Spicy,Dinner,Child,Mexican
Sweet & Sour,Medium,Medium,Dinner,Senior,Chinese
Dim Sum,Low,Medium,Breakfast,Child,Chinese
Tacos,High,Medium,Breakfast,Adult,Mexican
Pasta,High,Mild,Lunch,Adult,Italian
Fries,Low,Spicy,Lunch,Senior,American
Salad,High,Mild,Dinner,Senior,American
Burrito,Medium,Spicy,Lunch,Adult,Mexican
Burrito,High,Medium,Lunch,Senior,Mexican
Burrito,Medium,Spicy,Lunch,Adult,Mexican
Curry,High,Spicy,Lunch,Senior,Indian
Dumplings,High,Medium,Dinner,Child,Chinese
Dim Sum,Medium,Medium,Breakfast,Senior,Chinese
Tacos,Medium,Mild,Breakfast,Adult,Mexican
Tandoori,High,Mild,Dinner,Adult,Indian
Quesadilla,High,Spicy,Lunch,Senior,Mexican
Burger,High,Medium,Lunch,Child,American
Curry,Medium,Medium,Lunch,Child,Indian
Pasta,Medium,Mild,Lunch,Adult,Italian
Dim Sum,High,Spicy,Breakfast,Child,Chinese
Noodles,High,Spicy,Lunch,Adult,Chinese
Burrito,Low,Mild,Lunch,Child,Mexican
Fried Rice,Low,Medium,Lunch,Adult,Chinese
Frittata,Medium,Mild,Breakfast,Adult,Italian
Pizza,Low,Spicy,Lunch,Senior,Italian
Quesadilla,High,Medium,Lunch,Senior,Mexican
Risotto,High,Spicy,Dinner,Senior,Italian
Pancakes,Medium,Mild,Breakfast,Senior,American
Steak,Medium,Medium,Dinner,Senior,American
Noodles,Medium,Spicy,Lunch,Senior,Chinese
Curry,Low,Mild,Lunch,Child,Indian
Idli,Low,Mild,Breakfast,Adult,Indian
Dim Sum,High,Mild,Breakfast,Senior,Chinese
Lasagna,Low,Mild,Dinner,Child,Italian
Burger,Low,Medium,Lunch,Adult,American
Fries,High,Spicy,Lunch,Adult,American
Quesadilla,Medium,Spicy,Lunch,Senior,Mexican
Burrito,Low,Mild,Lunch,Senior,Mexican
Chili,Medium,Medium,Dinner,Adult,Mexican
Pasta,Low,Medium,Lunch,Child,Italian
Tacos,High,Mild,Breakfast,Child,Mexican
Paratha,High,Spicy,Breakfast,Child,Indian
Dim Sum,High,Mild,Breakfast,Senior,Chinese
Pancakes,Low,Medium,Breakfast,Child,American
Dim Sum,High,Medium,Breakfast,Child,Chinese
Paneer,Medium,Spicy,Dinner,Senior,Indian
Paneer,Low,Spicy,Dinner,Senior,Indian
Curry,Low,Mild,Lunch,Child,Indian
Dim Sum,Medium,Medium,Breakfast,Adult,Chinese
Steak,Low,Mild,Dinner,Senior,American
Fries,High,Medium,Lunch,Adult,American
Steak,Medium,Medium,Dinner,Adult,American
Idli,High,Medium,Breakfast,Senior,Indian
Burger,Medium,Medium,Lunch,Senior,American
Paratha,Low,Mild,Breakfast,Child,Indian
Burger,High,Mild,Lunch,Child,American
Dim Sum,Medium,Medium,Breakfast,Adult,Chinese
Fried Rice,High,Spicy,Lunch,Senior,Chinese
Idli,Low,Medium,Breakfast,Adult,Indian
Idli,Low,Medium,Breakfast,Senior,Indian
Quesadilla,High,Spicy,Lunch,Adult,Mexican
Salad,Low,Spicy,Dinner,Adult,American
Pancakes,Low,Spicy,Breakfast,Adult,American
Pizza,Low,Mild,Lunch,Senior,Italian
Tacos,Low,Mild,Breakfast,Senior,Mexican
Steak,Low,Mild,Dinner,Child,American
Fried Rice,Low,Mild,Lunch,Senior,Chinese
Lasagna,Medium,Medium,Dinner,Child,Italian
Pizza,Low,Medium,Lunch,Adult,Italian
Idli,Medium,Medium,Breakfast,Adult,Indian
Noodles,Low,Medium,Lunch,Senior,Chinese
Burrito,Medium,Mild,Lunch,Child,Mexican
Enchilada,Low,Mild,Dinner,Child,Mexican
Fried Rice,High,Mild,Lunch,Adult,Chinese
Noodles,Medium,Medium,Lunch,Child,Chinese
Dumplings,Low,Medium,Dinner,Child,Chinese
Sweet & Sour,High,Mild,Dinner,Adult,Chinese
Dim Sum,Medium,Medium,Breakfast,Senior,Chinese
Quesadilla,High,Mild,Lunch,Senior,Mexican
Quesadilla,High,Medium,Lunch,Adult,Mexican
Steak,High,Spicy,Dinner,Senior,American
Dim Sum,Low,Spicy,Breakfast,Senior,Chinese
Steak,Low,Medium,Dinner,Adult,American
Noodles,Medium,Medium,Lunch,Senior,Chinese
Paratha,High,Medium,Breakfast,Senior,Indian
Tacos,Low,Mild,Breakfast,Senior,Mexican
Salad,Medium,Spicy,Dinner,Adult,American
Pasta,Low,Spicy,Lunch,Adult,Italian
Enchilada,Medium,Spicy,Dinner,Adult,Mexican
Pancakes,High,Spicy,Breakfast,Child,American
Quesadilla,Low,Medium,Lunch,Senior,Mexican
Risotto,Low,Spicy,Dinner,Adult,Italian
Paratha,High,Spicy,Breakfast,Senior,Indian
Salad,Low,Spicy,Dinner,Senior,American
Fried Rice,Medium,Spicy,Lunch,Senior,Chinese
Salad,Low,Spicy,Dinner,Child,American
Risotto,High,Mild,Dinner,Adult,Italian
Frittata,Low,Spicy,Breakfast,Adult,Italian
Dumplings,High,Mild,Dinner,Senior,Chinese
Pancakes,Low,Spicy,Breakfast,Child,American
Fried Rice,Low,Mild,Lunch,Adult,Chinese
Tandoori,Medium,Medium,Dinner,Adult,Indian
Salad,Medium,Mild,Dinner,Senior,American
Steak,Low,Mild,Dinner,Adult,American
Noodles,Low,Spicy,Lunch,Senior,Chinese
Burrito,Medium,Spicy,Lunch,Child,Mexican
Burrito,Low,Mild,Lunch,Adult,Mexican
Salad,Low,Spicy,Dinner,Adult,American
Fries,High,Mild,Lunch,Child,American
Dumplings,Medium,Spicy,Dinner,Adult,Chinese
Curry,Low,Mild,Lunch,Child,Indian
Steak,High,Spicy,Dinner,Child,American
Pasta,Medium,Medium,Lunch,Child,Italian
Dim Sum,Medium,Medium,Breakfast,Child,Chinese
Tacos,Medium,Medium,Breakfast,Adult,Mexican
Pasta,High,Spicy,Lunch,Child,Italian
Frittata,High,Medium,Breakfast,Adult,Italian
Salad,Medium,Medium,Dinner,Adult,American
Tandoori,High,Spicy,Dinner,Senior,Indian
Curry,Medium,Mild,Lunch,Child,Indian
Biryani,High,Spicy,Lunch,Senior,Indian
Idli,Medium,Spicy,Breakfast,Senior,Indian
Salad,Medium,Mild,Dinner,Child,American
Frittata,Low,Medium,Breakfast,Adult,Italian
Lasagna,High,Spicy,Dinner,Adult,Italian
Tandoori,Medium,Medium,Dinner,Adult,Indian
Dumplings,Medium,Mild,Dinner,Child,Chinese
Paneer,Medium,Spicy,Dinner,Child,Indian
Fries,High,Mild,Lunch,Adult,American
Burrito,Medium,Mild,Lunch,Child,Mexican
Salad,Low,Mild,Dinner,Child,American
Pizza,Medium,Medium,Lunch,Adult,Italian
Tandoori,Medium,Medium,Dinner,Child,Indian
Dim Sum,Low,Spicy,Breakfast,Senior,Chinese
Frittata,High,Spicy,Breakfast,Adult,Italian
Pizza,High,Spicy,Lunch,Senior,Italian
Dim Sum,Medium,Medium,Breakfast,Adult,Chinese
Pasta,Low,Medium,Lunch,Adult,Italian
Steak,Low,Mild,Dinner,Child,American
Tacos,High,Mild,Breakfast,Senior,Mexican
Dim Sum,Low,Mild,Breakfast,Child,Chinese
Pasta,Low,Mild,Lunch,Senior,Italian
Pizza,Low,Medium,Lunch,Child,Italian
Idli,High,Mild,Breakfast,Senior,Indian
Dim Sum,Low,Mild,Breakfast,Senior,Chinese
Steak,High,Spicy,Dinner,Senior,American
Enchilada,High,Spicy,Dinner,Child,Mexican
Noodles,High,Mild,Lunch,Senior,Chinese
Pizza,Low,Spicy,Lunch,Child,Italian
Tacos,High,Medium,Breakfast,Child,Mexican
Pizza,Medium,Medium,Lunch,Adult,Italian
Dim Sum,High,Spicy,Breakfast,Senior,Chinese
Steak,Low,Spicy,Dinner,Senior,American
Pancakes,Low,Mild,Breakfast,Adult,American
Frittata,High,Mild,Breakfast,Senior,Italian
Burrito,Medium,Medium,Lunch,Adult,Mexican
Tacos,High,Mild,Breakfast,Adult,Mexican
Tandoori,Low,Medium,Dinner,Adult,Indian
Quesadilla,High,Medium,Lunch,Senior,Mexican
Burrito,Medium,Mild,Lunch,Senior,Mexican
Enchilada,Medium,Medium,Dinner,Child,Mexican
Dim Sum,Low,Mild,Breakfast,Senior,Chinese
Dim Sum,High,Spicy,Breakfast,Senior,Chinese
Chili,Medium,Spicy,Dinner,Adult,Mexican
Tacos,High,Medium,Breakfast,Child,Mexican
Pasta,High,Mild,Lunch,Senior,Italian
Noodles,Low,Medium,Lunch,Senior,Chinese
Noodles,Medium,Medium,Lunch,Child,Chinese
Lasagna,Low,Spicy,Dinner,Adult,Italian
Idli,Low,Mild,Breakfast,Adult,Indian
Noodles,Medium,Mild,Lunch,Senior,Chinese
Curry,Low,Spicy,Lunch,Senior,Indian
Sweet & Sour,Medium,Medium,Dinner,Senior,Chinese
Curry,Low,Spicy,Lunch,Adult,Indian
Lasagna,Medium,Mild,Dinner,Child,Italian
Tacos,Low,Mild,Breakfast,Child,Mexican
Pancakes,High,Mild,Breakfast,Senior,American
Risotto,Medium,Medium,Dinner,Adult,Italian
Fried Rice,High,Medium,Lunch,Senior,Chinese
Dim Sum,Low,Medium,Breakfast,Adult,Chinese
Paratha,Low,Mild,Breakfast,Child,Indian
Dim Sum,High,Mild,Breakfast,Adult,Chinese
Tacos,Low,Mild,Breakfast,Senior,Mexican
Chili,Medium,Spicy,Dinner,Child,Mexican
Pasta,Low,Medium,Lunch,Senior,Italian
Dim Sum,Medium,Medium,Breakfast,Senior,Chinese
Steak,High,Medium,Dinner,Senior,American
Idli,Medium,Mild,Breakfast,Child,Indian
Enchilada,Medium,Spicy,Dinner,Child,Mexican
Tacos,Medium,Mild,Breakfast,Senior,Mexican
Chili,Medium,Medium,Dinner,Senior,Mexican
Frittata,Low,Mild,Breakfast,Child,Italian
Burger,Medium,Medium,Lunch,Senior,American
Tacos,High,Medium,Breakfast,Child,Mexican
Pizza,Low,Medium,Lunch,Senior,Italian
Fried Rice,High,Mild,Lunch,Senior,Chinese
Biryani,Low,Mild,Lunch,Senior,Indian
Burrito,High,Medium,Lunch,Child,Mexican
Pancakes,High,Spicy,Breakfast,Child,American
Tacos,Low,Medium,Breakfast,Child,Mexican
Paneer,Medium,Medium,Dinner,Senior,Indian
Steak,Medium,Spicy,Dinner,Child,American
Idli,Low,Mild,Breakfast,Adult,Indian
Tandoori,Low,Spicy,Dinner,Adult,Indian
Sweet & Sour,High,Medium,Dinner,Adult,Chinese
Idli,High,Spicy,Breakfast,Senior,Indian
Biryani,High,Mild,Lunch,Adult,Indian
Sweet & Sour,Low,Mild,Dinner,Senior,Chinese
Fries,Low,Spicy,Lunch,Child,American
Frittata,Medium,Mild,Breakfast,Adult,Italian
Sweet & Sour,Medium,Spicy,Dinner,Senior,Chinese
Pizza,High,Spicy,Lunch,Adult,Italian
Burger,Low,Medium,Lunch,Child,American
Curry,Low,Spicy,Lunch,Adult,Indian
Salad,High,Spicy,Dinner,Adult,American
Chili,High,Spicy,Dinner,Child,Mexican
Fried Rice,Low,Mild,Lunch,Senior,Chinese
Tandoori,Low,Spicy,Dinner,Senior,Indian
Sweet & Sour,Medium,Medium,Dinner,Senior,Chinese
Quesadilla,High,Mild,Lunch,Senior,Mexican
Pancakes,Medium,Spicy,Breakfast,Adult,American
Tacos,Medium,Spicy,Breakfast,Child,Mexican
Paratha,High,Spicy,Breakfast,Senior,Indian
Chili,High,Mild,Dinner,Child,Mexican
Idli,Medium,Mild,Breakfast,Senior,Indian
Tandoori,High,Mild,Dinner,Child,Indian
Dumplings,Medium,Mild,Dinner,Senior,Chinese
Lasagna,Low,Medium,Dinner,Senior,Italian
Tacos,Low,Mild,Breakfast,Child,Mexican
Pizza,Low,Mild,Lunch,Child,Italian
Chili,Medium,Medium,Dinner,Child,Mexican
Tacos,High,Mild,Breakfast,Senior,Mexican
Enchilada,Medium,Spicy,Dinner,Adult,Mexican
Steak,Low,Mild,Dinner,Adult,American
Fries,Low,Spicy,Lunch,Adult,American
Frittata,Medium,Spicy,Breakfast,Senior,Italian
Quesadilla,High,Spicy,Lunch,Adult,Mexican
Curry,High,Spicy,Lunch,Child,Indian
Burger,Medium,Spicy,Lunch,Senior,American
Lasagna,High,Mild,Dinner,Child,Italian
Sweet & Sour,Medium,Mild,Dinner,Senior,Chinese
Frittata,High,Mild,Breakfast,Senior,Italian
Noodles,Medium,Spicy,Lunch,Adult,Chinese
Quesadilla,Medium,Mild,Lunch,Adult,Mexican
Quesadilla,Medium,Spicy,Lunch,Senior,Mexican
Idli,Medium,Mild,Breakfast,Senior,Indian
Burger,High,Mild,Lunch,Adult,American
Burrito,High,Spicy,Lunch,Adult,Mexican
Frittata,High,Medium,Breakfast,Adult,Italian
Noodles,High,Medium,Lunch,Adult,Chinese
Sweet & Sour,Medium,Mild,Dinner,Adult,Chinese
Idli,High,Spicy,Breakfast,Senior,Indian
Sweet & Sour,Low,Medium,Dinner,Child,Chinese
Salad,High,Spicy,Dinner,Child,American
Pancakes,Medium,Mild,Breakfast,Senior,American
Dim Sum,High,Mild,Breakfast,Senior,Chinese
Pizza,Medium,Mild,Lunch,Senior,Italian
Fries,Medium,Medium,Lunch,Adult,American
Idli,Medium,Spicy,Breakfast,Senior,Indian
Risotto,Low,Spicy,Dinner,Senior,Italian
Pasta,High,Mild,Lunch,Senior,Italian
Salad,High,Medium,Dinner,Child,American
Tacos,Low,Mild,Breakfast,Senior,Mexican
Tacos,Medium,Mild,Breakfast,Child,Mexican
Tacos,Medium,Spicy,Breakfast,Child,Mexican
Sweet & Sour,High,Mild,Dinner,Child,Chinese
Noodles,High,Medium,Lunch,Senior,Chinese
Curry,Medium,Medium,Lunch,Senior,Indian
Tacos,High,Spicy,Breakfast,Senior,Mexican
Paratha,High,Medium,Breakfast,Senior,Indian
Dim Sum,Medium,Spicy,Breakfast,Senior,Chinese
